net_user,age,friend_cnt,avg_friend_age,avg_friend_male,friend_country_cnt,subscriber_friend_cnt,songsListened,subscription_spending_$,posts,playlists,shouts,adopter,tenure,good_country,age_category,gender,songsListened_monthly,social_activity
toastman69,24.0,109.0,23.74666667,0.684210526,13.0,3.0,41012,32,9,1,143.0,0,68.0,True,Adults,Male,594.3768115942029,153.0
toastydub,23.0,22.0,24.78571429,0.882352941,7.0,5.0,23408,95,0,0,34.0,0,39.0,True,Adults,Male,585.2,34.0
tobad4u,21.0,12.0,20.5,0.545454546,4.0,0.0,62848,46,0,0,1.0,0,62.0,False,Adults,Male,997.5873015873016,1.0
tobbsarn,,2.0,19.0,1.0,1.0,0.0,9982,3,0,0,1.0,0,16.0,Unknown,Unknown,Unknown,587.1764705882352,1.0
tobi-wan,,11.0,24.14285714,1.0,2.0,0.0,42324,0,20,1,13.0,0,70.0,True,Unknown,Male,596.112676056338,34.0
tobias2207,16.0,6.0,18.66666667,0.5,1.0,0.0,14615,69,0,0,9.0,0,22.0,True,Teens,Male,635.4347826086956,9.0
tobirone,25.0,2.0,24.0,0.5,2.0,0.0,32070,30,0,1,5.0,0,60.0,True,Adults,Male,525.7377049180328,6.0
tobiswelten,32.0,2.0,25.0,0.0,1.0,0.0,12880,17,0,1,1.0,0,23.0,True,Adults,Unknown,536.6666666666666,2.0
toblubb,24.0,59.0,21.625,0.725490196,6.0,2.0,52098,159,17,1,150.0,0,54.0,True,Adults,Male,947.2363636363636,168.0
toby_boy,21.0,11.0,21.11111111,0.777777778,5.0,0.0,33574,28,0,1,17.0,0,64.0,False,Adults,Male,516.5230769230769,18.0
tobywantsmore,17.0,6.0,20.0,1.0,2.0,0.0,5131,4,0,3,2.0,0,6.0,True,Teens,Male,733.0,5.0
tocantis,,14.0,23.57142857,0.555555556,4.0,0.0,52384,585,0,0,10.0,0,40.0,False,Unknown,Female,1277.658536585366,10.0
todayisrev,,24.0,17.875,0.333333333,3.0,0.0,109973,99,0,1,89.0,0,45.0,False,Unknown,Unknown,2390.717391304348,90.0
todays_rookie,18.0,34.0,19.7037037,0.428571429,2.0,1.0,68259,148,0,0,197.0,0,55.0,True,Teens,Female,1218.9107142857142,197.0
toddbarry73,20.0,16.0,21.45454546,0.5,4.0,1.0,83923,30,0,0,13.0,0,40.0,True,Teens,Male,2046.9024390243903,13.0
toddcummings,33.0,3.0,32.5,1.0,1.0,0.0,129247,0,0,0,0.0,0,70.0,True,Adults,Male,1820.380281690141,0.0
toddy_228,,0.0,,,0.0,0.0,49548,4,0,1,0.0,0,35.0,Unknown,Unknown,Unknown,1376.3333333333333,1.0
todesgeist,,124.0,26.87,0.827272727,35.0,2.0,117040,189,0,1,59.0,0,63.0,False,Unknown,Female,1828.75,60.0
todielaughing,19.0,10.0,18.14285714,0.333333333,3.0,1.0,75282,796,1,0,7.0,0,62.0,True,Teens,Unknown,1194.952380952381,8.0
toefluff,47.0,2.0,19.0,1.0,2.0,0.0,26517,76,0,0,3.0,0,35.0,Unknown,MiddleAged,Male,736.5833333333334,3.0
toetx2,,1.0,20.0,1.0,1.0,0.0,15189,0,0,0,0.0,0,28.0,Unknown,Unknown,Unknown,523.7586206896551,0.0
toffek,,1.0,,1.0,0.0,0.0,18283,0,0,0,1.0,0,22.0,Unknown,Unknown,Unknown,794.9130434782609,1.0
toffic,22.0,19.0,22.30769231,0.666666667,1.0,0.0,32545,1,0,1,0.0,0,59.0,False,Adults,Female,542.4166666666666,1.0
toflex,27.0,5.0,23.5,0.6,2.0,0.0,76950,348,3,0,7.0,0,65.0,False,Adults,Male,1165.909090909091,10.0
tofuistasty,32.0,14.0,27.72727273,0.5,4.0,0.0,143165,281,1,1,24.0,0,58.0,True,Adults,Unknown,2426.5254237288136,26.0
togetaway,18.0,17.0,18.61538462,0.529411765,9.0,0.0,10804,28,0,1,0.0,0,4.0,Unknown,Teens,Male,2160.8,1.0
toik_cz,25.0,16.0,24.0,0.8,4.0,2.0,47541,0,3,0,28.0,0,60.0,False,Adults,Male,779.360655737705,31.0
tokagemodoki,,9.0,27.33333333,0.857142857,6.0,0.0,137574,64,0,1,2.0,0,50.0,False,Unknown,Unknown,2697.529411764706,3.0
tokay-ihto,,5.0,22.5,0.6,1.0,0.0,48733,6,1,0,2.0,0,27.0,False,Unknown,Male,1740.4642857142858,3.0
tokenoflove,,10.0,20.33333333,0.666666667,4.0,0.0,14782,41,0,0,,0,11.0,Unknown,Unknown,Unknown,1231.8333333333333,
tokfff,22.0,47.0,21.02564103,0.133333333,7.0,1.0,107623,242,0,0,24.0,0,43.0,True,Adults,Male,2445.9772727272725,24.0
tokiwotomete,,5.0,18.5,0.0,2.0,1.0,18191,77,0,0,76.0,0,17.0,True,Unknown,Female,1010.6111111111111,76.0
tokkeii,28.0,1.0,29.0,,1.0,0.0,80679,0,0,0,1.0,0,26.0,False,Adults,Male,2988.1111111111113,1.0
tokukyou,26.0,6.0,29.4,0.5,3.0,0.0,46994,55,0,0,0.0,0,58.0,True,Adults,Female,796.5084745762712,0.0
tolemak,,16.0,26.63636364,0.454545455,2.0,0.0,34703,96,0,1,14.0,0,53.0,False,Unknown,Male,642.6481481481482,15.0
toliai,,3.0,22.0,1.0,1.0,0.0,18033,35,0,1,0.0,0,21.0,False,Unknown,Male,819.6818181818181,1.0
tolumide,,1.0,16.0,0.0,1.0,0.0,22747,10,0,0,2.0,0,8.0,True,Unknown,Female,2527.4444444444443,2.0
tom--1986,,0.0,,,0.0,0.0,31866,0,0,0,1.0,0,17.0,Unknown,Unknown,Unknown,1770.3333333333333,1.0
tom-jones,,8.0,26.6,0.142857143,2.0,0.0,50792,62,1,0,5.0,0,48.0,False,Unknown,Male,1036.5714285714287,6.0
tom2000,22.0,48.0,23.22580645,0.707317073,6.0,1.0,34021,1,29,1,305.0,0,62.0,True,Adults,Male,540.015873015873,335.0
tom987,20.0,3.0,20.0,0.666666667,3.0,0.0,38234,0,1,1,18.0,0,62.0,True,Teens,Male,606.8888888888889,20.0
tom_bom,19.0,6.0,20.75,1.0,1.0,1.0,26419,22,0,0,14.0,0,35.0,False,Teens,Male,733.8611111111111,14.0
tom_goodhew,21.0,19.0,24.375,0.941176471,1.0,0.0,34303,9,107,1,25.0,0,65.0,True,Adults,Male,519.7424242424242,133.0
tom_stvoler,23.0,27.0,24.8125,0.761904762,10.0,3.0,40705,653,0,0,4.0,0,23.0,False,Adults,Male,1696.0416666666667,4.0
tomaluk,16.0,82.0,17.69565217,0.615384615,8.0,0.0,27660,78,0,0,0.0,0,11.0,False,Teens,Unknown,2305.0,0.0
tomasczt,,11.0,36.0,0.777777778,3.0,0.0,247324,96,0,0,1.0,0,4.0,True,Unknown,Male,49464.8,1.0
tomasdeloscobos,35.0,8.0,28.75,0.0,1.0,0.0,29452,57,0,0,2.0,0,44.0,False,Adults,Male,654.4888888888889,2.0
tomasz1125,20.0,9.0,19.22222222,0.555555556,1.0,0.0,66217,7,131,1,54.0,0,52.0,False,Teens,Male,1249.377358490566,186.0
tomasz_wozniak,19.0,23.0,18.2631579,0.409090909,3.0,0.0,20935,33,0,0,10.0,0,13.0,False,Teens,Male,1495.357142857143,10.0
tombeerling,17.0,91.0,17.89230769,0.329268293,23.0,0.0,39496,229,1,0,166.0,0,20.0,False,Teens,Male,1880.7619047619048,167.0
tomberculosis,24.0,32.0,27.17391304,0.8,12.0,1.0,60278,1,0,1,17.0,0,63.0,True,Adults,Male,941.84375,18.0
tomcatrenar,21.0,43.0,23.75862069,0.266666667,9.0,0.0,35438,20,0,1,109.0,0,63.0,False,Adults,Male,553.71875,110.0
tomcias,23.0,19.0,26.76470588,0.888888889,2.0,1.0,37266,132,1,1,61.0,0,66.0,False,Adults,Male,556.2089552238806,63.0
tomciok49,,19.0,21.0,0.647058824,3.0,0.0,61008,502,0,0,11.0,0,37.0,False,Unknown,Male,1605.4736842105262,11.0
tomd4s,,0.0,,,0.0,0.0,12598,0,0,0,1.0,0,15.0,Unknown,Unknown,Unknown,787.375,1.0
tomdunn21,,2.0,20.0,1.0,1.0,0.0,40112,104,21,0,,0,66.0,True,Unknown,Male,598.6865671641791,
tome85,26.0,4.0,24.66666667,1.0,2.0,0.0,46349,0,0,0,2.0,0,32.0,False,Adults,Male,1404.5151515151515,2.0
tomekasz,20.0,7.0,19.8,0.333333333,3.0,0.0,28603,50,0,0,0.0,0,29.0,True,Teens,Male,953.4333333333333,0.0
tomekp19,23.0,21.0,23.07142857,0.714285714,1.0,0.0,25433,74,0,0,7.0,0,33.0,False,Adults,Male,748.0294117647059,7.0
tomekpe,22.0,86.0,22.38888889,0.594936709,12.0,0.0,113859,38,122,0,1102.0,0,68.0,False,Adults,Male,1650.1304347826087,1224.0
tomektore,36.0,53.0,27.16216216,0.755555556,18.0,2.0,90906,1007,41,1,422.0,0,57.0,False,Adults,Male,1567.344827586207,464.0
tomfarcie,,34.0,39.23529412,0.580645161,14.0,6.0,41551,1006,1,3,28.0,0,33.0,Unknown,Unknown,Unknown,1222.0882352941176,32.0
tomgreendayfan,18.0,34.0,20.89655172,0.516129032,11.0,0.0,39067,603,21,1,114.0,0,40.0,False,Teens,Male,952.8536585365854,136.0
tomholden89,22.0,26.0,20.83333333,0.8,2.0,0.0,39818,0,0,0,9.0,0,62.0,True,Adults,Male,632.031746031746,9.0
tomi_91,20.0,15.0,21.16666667,0.692307692,5.0,0.0,41354,150,0,0,3.0,0,32.0,Unknown,Teens,Male,1253.1515151515152,3.0
tomiaa05,,1.0,22.0,1.0,1.0,0.0,30559,6,0,0,1.0,0,11.0,Unknown,Unknown,Unknown,2546.5833333333335,1.0
tomiedge,22.0,21.0,25.44444444,0.714285714,8.0,0.0,56160,0,0,0,16.0,0,55.0,False,Adults,Male,1002.8571428571429,16.0
tomiei,21.0,14.0,21.25,0.230769231,3.0,0.0,11956,115,1,1,62.0,0,22.0,False,Adults,Male,519.8260869565217,64.0
tomijenson,20.0,14.0,18.92307692,0.785714286,2.0,0.0,56365,0,0,0,5.0,0,20.0,False,Teens,Male,2684.0476190476193,5.0
tomiscoolyo,,3.0,23.5,0.0,1.0,0.0,46483,7,0,0,3.0,0,62.0,Unknown,Unknown,Unknown,737.8253968253969,3.0
tomitomik,,6.0,23.5,0.25,1.0,0.0,22330,29,0,0,1.0,0,10.0,Unknown,Unknown,Unknown,2030.0,1.0
tomiyoshikko,,0.0,,,0.0,0.0,11301,1,0,1,2.0,0,16.0,Unknown,Unknown,Unknown,664.7647058823529,3.0
tommahmusic,22.0,27.0,21.90909091,0.761904762,7.0,1.0,35885,38,0,1,5.0,0,44.0,True,Adults,Male,797.4444444444445,6.0
tommeh28,,11.0,20.55555556,0.666666667,2.0,0.0,33585,3,0,0,23.0,0,38.0,False,Unknown,Male,861.1538461538462,23.0
tommitommi12,20.0,11.0,20.28571429,0.857142857,1.0,0.0,31762,0,0,0,4.0,0,23.0,True,Teens,Male,1323.4166666666667,4.0
tommyelf22,46.0,12.0,37.28571429,0.888888889,5.0,0.0,226475,910,0,1,2.0,0,46.0,True,MiddleAged,Male,4818.617021276596,3.0
tommyhutomo,23.0,3.0,28.0,1.0,1.0,0.0,22588,0,0,0,4.0,0,38.0,False,Adults,Male,579.1794871794872,4.0
tommyjohnny,21.0,3.0,21.0,0.666666667,1.0,0.0,33218,27,0,0,1.0,0,22.0,True,Adults,Male,1444.2608695652175,1.0
tommyteodia,16.0,128.0,20.33653846,0.847457627,22.0,0.0,86947,324,1,0,8.0,0,21.0,False,Teens,Male,3952.1363636363635,9.0
tommyy7,19.0,29.0,19.05,0.72,8.0,0.0,23521,582,0,1,62.0,0,44.0,False,Teens,Male,522.6888888888889,63.0
tomoko_chan,20.0,51.0,25.45833333,0.673913044,19.0,1.0,29844,4,1,0,73.0,0,53.0,False,Teens,Female,552.6666666666666,74.0
tomorico,,1.0,41.0,1.0,1.0,0.0,19716,184,0,0,2.0,0,14.0,Unknown,Unknown,Female,1314.4,2.0
tomorz,14.0,18.0,17.84615385,1.0,6.0,1.0,105559,146,0,0,521.0,0,21.0,True,Teens,Male,4798.136363636364,521.0
tomothylol,,22.0,24.58823529,0.555555556,5.0,0.0,30465,88,0,0,43.0,0,30.0,True,Unknown,Unknown,982.741935483871,43.0
tomramone,22.0,36.0,21.46153846,0.633333333,3.0,0.0,68149,0,19,0,206.0,0,59.0,False,Adults,Male,1135.8166666666666,225.0
tomskithollski,17.0,3.0,17.66666667,0.666666667,1.0,0.0,12153,0,0,1,2.0,0,19.0,True,Teens,Male,607.65,3.0
tomthezebra,16.0,20.0,17.0,0.6875,2.0,0.0,20105,31,1,0,124.0,0,25.0,False,Teens,Male,773.2692307692307,125.0
tomus69,21.0,14.0,19.83333333,0.785714286,4.0,0.0,36372,27,0,1,7.0,0,57.0,False,Adults,Male,627.1034482758621,8.0
tomwaghorn,24.0,17.0,24.53846154,0.933333333,1.0,1.0,51625,314,0,0,20.0,0,71.0,True,Adults,Male,717.0138888888889,20.0
tomzek,32.0,1.0,30.0,0.0,1.0,0.0,22206,18,0,1,1.0,0,28.0,False,Adults,Male,765.7241379310345,2.0
tonefive,20.0,4.0,20.5,1.0,1.0,0.0,23333,83,0,0,0.0,0,20.0,False,Teens,Male,1111.095238095238,0.0
tonightstheday,,53.0,23.94444444,0.608695652,11.0,3.0,52757,1285,7,1,260.0,0,75.0,True,Unknown,Female,694.171052631579,268.0
tonijnnn,,1.0,22.0,1.0,1.0,0.0,8658,8,0,1,0.0,0,15.0,Unknown,Unknown,Unknown,541.125,1.0
tonirizz,19.0,1.0,,,1.0,0.0,22319,96,2,0,0.0,0,42.0,False,Teens,Male,519.046511627907,2.0
tonje_ha,22.0,44.0,24.62068966,0.815789474,21.0,1.0,75504,118,327,1,113.0,0,57.0,False,Adults,Female,1301.7931034482758,441.0
tonken,20.0,27.0,22.21052632,0.84,10.0,0.0,130875,83,31,1,34.0,0,54.0,False,Teens,Male,2379.5454545454545,66.0
tonkobonko,27.0,14.0,23.77777778,0.4,3.0,0.0,44738,25,3,1,56.0,0,61.0,False,Adults,Male,721.5806451612904,60.0
tonpepe,,4.0,23.0,1.0,1.0,0.0,15362,0,0,0,0.0,0,26.0,Unknown,Unknown,Unknown,568.9629629629629,0.0
tony2times,24.0,10.0,24.5,0.5,2.0,0.0,59304,0,0,0,11.0,0,45.0,True,Adults,Male,1289.2173913043478,11.0
too-legit2quit,18.0,0.0,,,0.0,0.0,13833,0,0,0,0.0,0,15.0,Unknown,Teens,Male,864.5625,0.0
toohla,18.0,1.0,20.0,1.0,1.0,0.0,12269,106,0,1,40.0,0,20.0,False,Teens,Female,584.2380952380952,41.0
toolegittoquit,24.0,0.0,,,0.0,0.0,53909,0,0,0,0.0,0,53.0,True,Adults,Male,998.3148148148148,0.0
toolfreak46x2,22.0,7.0,23.75,0.833333333,3.0,1.0,90453,56,0,1,4.0,0,31.0,True,Adults,Male,2826.65625,5.0
toollaa,17.0,38.0,21.03333333,0.578947368,7.0,0.0,27511,94,0,0,119.0,0,42.0,True,Teens,Female,639.7906976744187,119.0
toomstar,,1.0,20.0,1.0,1.0,0.0,5829,0,0,0,1.0,0,7.0,Unknown,Unknown,Unknown,728.625,1.0
toopac7196,,3.0,24.0,0.5,2.0,1.0,12448,35,0,0,0.0,0,17.0,Unknown,Unknown,Unknown,691.5555555555555,0.0
tooska16,18.0,12.0,20.81818182,0.909090909,1.0,0.0,23129,33,0,0,6.0,0,36.0,False,Teens,Female,625.1081081081081,6.0
toothpicker,20.0,9.0,19.33333333,0.857142857,1.0,0.0,32904,0,0,1,3.0,0,56.0,True,Teens,Male,577.2631578947369,4.0
tophetteraphim,,29.0,29.5625,0.772727273,8.0,1.0,62320,181,9,1,12.0,0,52.0,True,Unknown,Unknown,1175.8490566037735,22.0
topneo,18.0,3.0,20.33333333,0.666666667,3.0,0.0,13280,49,0,1,1.0,0,23.0,False,Teens,Male,553.3333333333334,2.0
toppas86,,0.0,,,0.0,0.0,19053,75,0,0,3.0,0,27.0,Unknown,Unknown,Unknown,680.4642857142857,3.0
tor4uban,22.0,12.0,20.71428571,0.7,3.0,0.0,36239,60,0,1,1.0,0,53.0,False,Adults,Male,671.0925925925926,2.0
tor_wilson,20.0,6.0,38.0,0.75,3.0,1.0,31988,96,1,1,50.0,0,45.0,False,Teens,Female,695.3913043478261,52.0
toran1302,,0.0,,,0.0,0.0,11584,304,0,1,1.0,0,16.0,Unknown,Unknown,Unknown,681.4117647058823,2.0
torataizi,,9.0,27.5,0.857142857,3.0,0.0,24670,0,0,0,,0,38.0,False,Unknown,Male,632.5641025641025,
torched1990,21.0,64.0,20.12244898,0.62,9.0,1.0,114873,469,19,2,263.0,0,49.0,False,Adults,Male,2297.46,284.0
tori26_0,,3.0,19.0,,1.0,0.0,69135,33,0,1,1.0,0,21.0,False,Unknown,Unknown,3142.5,2.0
torianus,28.0,9.0,25.625,0.777777778,4.0,0.0,36630,0,4,0,72.0,0,56.0,True,Adults,Male,642.6315789473684,76.0
torifayth,18.0,84.0,21.38028169,0.901234568,7.0,3.0,39328,83,0,0,101.0,0,31.0,True,Teens,Female,1229.0,101.0
tornfield,,65.0,17.125,0.625,10.0,1.0,8162,20,0,0,15.0,0,11.0,False,Unknown,Female,680.1666666666666,15.0
torpilla,27.0,23.0,27.0,0.761904762,2.0,1.0,25895,98,0,1,20.0,0,49.0,False,Adults,Female,517.9,21.0
torresvictor,22.0,78.0,20.06779661,0.408450704,6.0,1.0,41365,62,0,0,10.0,0,37.0,Unknown,Adults,Male,1088.5526315789473,10.0
torrin47,,0.0,,,0.0,0.0,45806,22,0,0,1.0,0,33.0,Unknown,Unknown,Unknown,1347.235294117647,1.0
torture666,22.0,12.0,21.85714286,0.4,3.0,0.0,74720,129,0,0,14.0,0,71.0,False,Adults,Female,1037.7777777777778,14.0
torturebringer,33.0,38.0,28.17857143,0.625,23.0,2.0,34807,0,16,0,29.0,0,41.0,False,Adults,Male,828.7380952380952,45.0
toshiiv,,4.0,23.0,0.333333333,1.0,0.0,13347,0,0,0,7.0,0,24.0,Unknown,Unknown,Male,533.88,7.0
toshimi-chi,,35.0,26.19047619,0.24137931,12.0,3.0,138400,1039,0,0,5.0,0,24.0,False,Unknown,Male,5536.0,5.0
tosiorr,18.0,38.0,19.48387097,0.617647059,6.0,0.0,24320,399,1,0,175.0,0,22.0,False,Teens,Male,1057.391304347826,176.0
tosol06,20.0,8.0,19.6,0.625,3.0,0.0,29728,253,0,0,6.0,0,31.0,False,Teens,Male,929.0,6.0
