net_user,age,male,friend_cnt,avg_friend_age,avg_friend_male,friend_country_cnt,subscriber_friend_cnt,songsListened,subscription_spending_$,posts,playlists,shouts,adopter,tenure,good_country
lqkobe,,,0.0,,,0.0,0.0,470,15,0,0,0.0,0,25.0,
pillanka,25.0,0.0,5.0,22.66666667,0.333333333,1.0,0.0,2659,545,0,1,2.0,0,39.0,0.0
nicofdez20,,,1.0,20.0,0.0,1.0,0.0,0,0,0,0,1.0,0,17.0,
chonchos,24.0,0.0,12.0,26.33333333,0.9,3.0,1.0,15046,5,0,0,7.0,0,66.0,1.0
heloisethomson,22.0,0.0,8.0,23.5,1.0,1.0,0.0,32641,35,0,1,15.0,0,25.0,1.0
mariwiggum,16.0,1.0,3.0,18.0,0.5,1.0,0.0,127,9,0,1,4.0,0,28.0,1.0
ellierandy,,,2.0,28.0,0.5,2.0,0.0,1720,7,0,1,2.0,0,57.0,
flanmanyessir,,,7.0,19.33333333,0.4,1.0,0.0,11945,3,0,1,4.0,0,26.0,
albarlex,,,28.0,22.57894737,0.84,6.0,0.0,6784,30,0,0,46.0,0,24.0,
bibasse7,,,1.0,22.0,0.0,1.0,0.0,0,0,0,0,1.0,0,48.0,
elamona,29.0,1.0,18.0,30.2,0.75,5.0,5.0,71212,3,5,0,0.0,1,60.0,0.0
hyperslow,25.0,1.0,2.0,24.0,1.0,1.0,0.0,1497,0,0,1,2.0,0,58.0,0.0
awadhera,,,0.0,,,0.0,0.0,1532,8,0,0,2.0,1,28.0,
daniel_ultra,19.0,1.0,3.0,19.0,1.0,2.0,0.0,1122,0,0,1,1.0,0,49.0,0.0
oak888,24.0,0.0,1.0,30.0,1.0,1.0,0.0,1132,2,0,0,3.0,0,14.0,1.0
kunku_13,,1.0,2.0,22.0,1.0,1.0,0.0,27625,133,0,0,1.0,0,10.0,0.0
lebron--,16.0,1.0,2.0,17.0,1.0,1.0,0.0,570,10,0,0,2.0,0,36.0,0.0
thejellomonster,,,1.0,,0.0,1.0,0.0,58,51,0,0,1.0,0,28.0,
rowanberry,33.0,0.0,14.0,34.125,0.888888889,5.0,1.0,46670,523,0,1,8.0,1,78.0,1.0
ghirt,,,1.0,26.0,1.0,1.0,0.0,266,15,0,1,1.0,0,49.0,
starfish47,,0.0,6.0,22.25,1.0,4.0,0.0,31662,4,0,0,29.0,0,57.0,
chamanter,27.0,1.0,5.0,32.5,0.8,4.0,0.0,29126,3,1,1,8.0,0,54.0,0.0
evgenus,,1.0,1.0,28.0,1.0,1.0,0.0,127,0,0,1,4.0,0,42.0,0.0
amiablecreature,29.0,0.0,2.0,27.5,1.0,2.0,0.0,16806,16,0,0,0.0,0,73.0,1.0
blitvaljka,,1.0,2.0,19.0,1.0,1.0,0.0,12,0,0,0,1.0,0,23.0,0.0
czupaczups,,,1.0,,1.0,1.0,0.0,0,0,0,0,2.0,0,39.0,
gabrielganem,19.0,1.0,38.0,21.2962963,0.612903226,5.0,1.0,22072,0,0,0,31.0,0,28.0,0.0
mandardj,,,1.0,,,0.0,0.0,488,26,0,0,1.0,0,35.0,
abhagwat,,,1.0,,,0.0,0.0,225,9,0,0,1.0,0,46.0,
shaikan,,1.0,1.0,,,0.0,0.0,0,0,0,0,1.0,0,43.0,
smiledot,20.0,0.0,9.0,20.0,0.333333333,3.0,0.0,17027,0,0,1,4.0,0,47.0,0.0
twilight8642,26.0,0.0,1.0,21.0,0.0,1.0,0.0,309,16,0,1,2.0,0,39.0,0.0
xhalo_one,,,1.0,29.0,,1.0,0.0,11953,2408,0,1,0.0,0,24.0,
xymox007,,1.0,1.0,30.0,0.0,1.0,0.0,114,32,0,0,2.0,0,33.0,
jabnin03,,,1.0,23.0,1.0,1.0,0.0,1511,1,0,1,1.0,0,41.0,
henriqueweiler,17.0,1.0,20.0,21.5,0.833333333,2.0,0.0,11688,30,0,0,0.0,0,8.0,0.0
chrissiblack,20.0,,12.0,26.625,0.625,2.0,0.0,4106,85,0,0,1.0,0,33.0,1.0
memphismafia77,,,3.0,19.0,0.5,1.0,0.0,226,0,0,0,1.0,0,16.0,
ridgefor,,1.0,7.0,23.57142857,1.0,3.0,1.0,6237,1,0,0,1.0,0,36.0,0.0
aqualung85,29.0,1.0,0.0,,,0.0,0.0,0,0,0,0,1.0,0,17.0,1.0
burntherope,,1.0,1.0,20.0,0.0,1.0,0.0,235,8,0,0,0.0,0,64.0,
drumxkorp,20.0,1.0,24.0,21.13333333,0.722222222,3.0,0.0,16972,0,1,0,2.0,0,37.0,1.0
eamoneamoneamon,,,10.0,21.0,0.833333333,1.0,0.0,8074,9,0,0,4.0,0,39.0,1.0
boffintim,19.0,1.0,6.0,18.5,1.0,1.0,0.0,48574,0,0,0,1.0,0,17.0,1.0
tazbgc,31.0,1.0,5.0,24.2,0.25,1.0,0.0,524,0,0,1,3.0,1,55.0,0.0
nakamura502,26.0,1.0,1.0,26.0,1.0,1.0,0.0,101,0,0,0,2.0,0,65.0,0.0
xxshinbobxx,16.0,0.0,4.0,24.5,0.333333333,2.0,0.0,484,2,0,1,2.0,0,41.0,0.0
jim_von_os,,,1.0,26.0,,1.0,0.0,39,5,0,0,2.0,0,6.0,
weency,24.0,1.0,3.0,26.0,1.0,1.0,0.0,638,11,0,0,3.0,0,55.0,1.0
suenft,,,5.0,28.0,1.0,3.0,0.0,3417,98,0,0,,0,36.0,
thiagooak,22.0,1.0,1.0,23.0,1.0,1.0,0.0,16442,18,0,0,1.0,1,32.0,0.0
minionsengage,25.0,1.0,7.0,27.71428571,0.571428571,3.0,1.0,43485,38,169,1,1.0,0,71.0,1.0
mayakomarac,24.0,0.0,14.0,20.7,0.083333333,7.0,0.0,86377,129,0,0,66.0,0,19.0,0.0
munchin,,,0.0,,,0.0,0.0,16291,141,0,0,1.0,0,25.0,1.0
dudegalea,,,2.0,,,0.0,0.0,89,20,0,2,1.0,1,55.0,
jaledwith,,,0.0,,,0.0,0.0,7315,2,0,2,,0,55.0,1.0
thebobson,24.0,1.0,5.0,21.25,0.2,1.0,0.0,6204,8,0,1,2.0,0,48.0,0.0
origamii,24.0,0.0,1.0,31.0,0.0,1.0,0.0,1144,146,0,1,0.0,0,70.0,1.0
mashka_f13,19.0,0.0,0.0,,,0.0,0.0,1513,36,0,0,3.0,0,38.0,0.0
asylumed,,,2.0,29.0,1.0,1.0,0.0,21390,0,0,0,0.0,0,69.0,
royalevan,,,0.0,,,0.0,0.0,145,0,0,0,1.0,0,17.0,
astridsann,35.0,0.0,20.0,32.3125,0.631578947,2.0,1.0,9575,20,0,0,1.0,0,13.0,0.0
stormymusic,21.0,1.0,6.0,22.5,0.75,2.0,0.0,477,17,0,1,1.0,1,38.0,0.0
chilldoubt,29.0,,2.0,44.0,1.0,1.0,0.0,26059,0,0,0,0.0,0,80.0,1.0
lipazavr,,,2.0,,,0.0,0.0,11601,9,0,1,2.0,0,44.0,
cosmonauta,25.0,1.0,8.0,28.42857143,0.5,1.0,0.0,1299,25,1,1,3.0,0,78.0,0.0
jwvw23,,1.0,4.0,27.0,1.0,2.0,0.0,5119,19,0,1,0.0,0,77.0,0.0
god_sick,,,1.0,17.0,0.0,1.0,0.0,512,0,0,0,1.0,0,18.0,
eusoualu,20.0,0.0,40.0,20.64705882,0.842105263,3.0,0.0,30491,18,0,0,77.0,0,56.0,0.0
section2b,,,1.0,29.0,0.0,1.0,0.0,0,0,0,1,1.0,0,49.0,
fullmetalash,20.0,0.0,9.0,22.85714286,0.625,1.0,0.0,8481,56,0,0,6.0,1,20.0,1.0
bogusz47,,,1.0,,0.0,1.0,0.0,30,0,0,1,2.0,0,45.0,
firetoflames,24.0,1.0,34.0,23.08333333,0.291666667,5.0,0.0,72907,0,0,1,9.0,0,79.0,1.0
bdukeman,,,0.0,,,0.0,0.0,3003,108,0,0,1.0,1,16.0,
remmash,22.0,1.0,1.0,23.0,1.0,1.0,0.0,172,12,0,1,1.0,0,35.0,0.0
leohenrique0908,19.0,1.0,4.0,19.0,0.5,1.0,2.0,116,0,0,0,1.0,1,6.0,0.0
wetterprophet,25.0,1.0,25.0,24.3125,0.666666667,2.0,1.0,20170,3,0,0,5.0,0,59.0,1.0
bingouk69,40.0,1.0,3.0,35.0,0.666666667,1.0,0.0,7453,162,0,1,1.0,0,53.0,1.0
rich-lc,,1.0,4.0,32.0,1.0,3.0,0.0,4457,106,0,2,2.0,1,45.0,0.0
maulanaeboy,21.0,1.0,6.0,22.0,0.8,2.0,0.0,201,4,0,1,8.0,0,20.0,0.0
danidulcita,,,9.0,23.0,0.555555556,3.0,1.0,12386,12,0,0,3.0,0,26.0,0.0
kogutwokularach,,0.0,8.0,22.8,0.428571429,2.0,0.0,5141,172,2,1,2.0,0,30.0,0.0
psychedelicfuzz,,1.0,6.0,20.66666667,0.2,3.0,0.0,7337,0,0,0,3.0,0,57.0,1.0
maverick_ck,22.0,,3.0,21.5,1.0,2.0,0.0,2898,15,0,0,7.0,0,14.0,
kboe,,,5.0,21.75,0.666666667,1.0,0.0,7275,159,0,1,3.0,0,49.0,
szoteczek,,,1.0,22.0,1.0,1.0,0.0,324,3,0,1,1.0,0,33.0,
dizzu,25.0,,1.0,21.0,1.0,1.0,0.0,12800,30,0,1,0.0,1,68.0,0.0
kingrussian1,,,1.0,,,1.0,0.0,643,2,0,1,1.0,0,46.0,
linf_ord,28.0,1.0,8.0,25.66666667,0.428571429,2.0,0.0,18110,0,6,0,25.0,0,67.0,1.0
filosophyk,24.0,1.0,2.0,25.5,0.5,1.0,0.0,83,0,0,0,1.0,0,52.0,0.0
bernyenko,,,0.0,,,0.0,0.0,800,5,0,0,1.0,0,13.0,
rozenpotter,19.0,,5.0,20.0,0.75,1.0,0.0,0,0,0,0,1.0,0,55.0,0.0
eltonone,,,7.0,29.0,0.833333333,3.0,0.0,12727,50,10,2,11.0,0,59.0,
peganian,,,1.0,24.0,0.0,1.0,0.0,1,0,0,0,1.0,0,35.0,
hari1199,12.0,0.0,1.0,16.0,0.0,1.0,0.0,117,11,0,0,4.0,0,19.0,0.0
moreitaparica,,,1.0,,1.0,1.0,0.0,1451,36,0,1,1.0,0,37.0,
speed_crusher,21.0,1.0,1.0,,1.0,1.0,0.0,1,13,0,1,1.0,0,22.0,0.0
ycarnice,,,6.0,18.66666667,1.0,1.0,0.0,7,5,0,1,1.0,0,11.0,
shreyapatel,,,1.0,23.0,0.0,1.0,0.0,3737,24,0,0,1.0,0,63.0,
corbell467,,,0.0,,,0.0,0.0,711,327,0,0,0.0,0,14.0,
virus_kvartirus,28.0,1.0,3.0,28.0,1.0,1.0,0.0,2065,0,0,0,3.0,0,52.0,0.0
bernardol,,1.0,5.0,20.0,1.0,1.0,0.0,9365,11,0,1,1.0,0,27.0,0.0
hubristicabyss,,1.0,1.0,25.0,1.0,1.0,0.0,9,0,0,1,1.0,0,27.0,0.0
moka12345,,0.0,6.0,29.0,1.0,3.0,0.0,1,0,0,0,1.0,0,34.0,
robsf,,1.0,3.0,36.5,0.5,2.0,0.0,8026,107,0,2,1.0,0,57.0,1.0
unrealfiction,29.0,1.0,2.0,32.0,1.0,1.0,0.0,698,661,0,0,0.0,0,65.0,1.0
phasedma,27.0,1.0,0.0,,,0.0,0.0,1955,23,0,0,0.0,0,69.0,1.0
vluu,23.0,1.0,1.0,24.0,1.0,1.0,0.0,7454,14,0,1,1.0,0,51.0,
bredpig,21.0,1.0,3.0,21.0,0.666666667,3.0,0.0,8655,0,0,0,4.0,0,67.0,1.0
lunafloon,17.0,0.0,4.0,20.75,0.75,2.0,0.0,6024,14,0,1,1.0,0,17.0,1.0
gus_cassane,21.0,1.0,11.0,20.44444444,0.5,5.0,0.0,2221,0,0,1,2.0,0,42.0,0.0
deine_ex,21.0,0.0,29.0,24.0952381,0.428571429,6.0,1.0,11053,37,9,0,10.0,0,38.0,1.0
nastya666vampir,17.0,0.0,2.0,20.0,0.5,1.0,0.0,1451,17,0,0,4.0,0,31.0,0.0
photonsbefree,,,0.0,,,0.0,0.0,225,5,0,0,1.0,0,17.0,
smartkitty_86,25.0,0.0,2.0,26.0,1.0,1.0,1.0,5715,22,0,1,2.0,0,27.0,
davidelrisas,17.0,1.0,1.0,,,1.0,0.0,798,125,0,1,2.0,0,39.0,0.0
blackheartbree,19.0,0.0,3.0,18.66666667,0.0,1.0,0.0,61698,2776,140,0,1450.0,0,41.0,0.0
owlsmyles,,1.0,4.0,32.0,0.5,1.0,0.0,13170,51,0,1,2.0,0,43.0,
diez_xxx,19.0,1.0,1.0,25.0,1.0,1.0,0.0,0,0,0,0,1.0,0,19.0,0.0
